"Codigo","TITULO","Data (campo 5)","Data criação (campo 333a)","Criado por (campo 333b)"
"01269-01e02","CORDÉLIA CORDÉLIA","-","-","-"
"01357-02","COMPASSO DE ESPERA","-","-","-"
"01296-09","CIDADE DO SALVADOR","-","-","-"
"01296-10","CIDADE DE SALVADOR","-","-","-"
"01312-02","DIABÓLICOS HERDEIROS, Os","-","-","-"
"01312-03","DIABÓLICOS HERDEIROS, Os","-","-","-"
"01319-01","TARAS ERÓTICAS","-","-","-"
"01319-03","TARAS ERÓTICAS","-","-","-"
"01198-07","REFORMATÓRIO DAS DEPRAVADAS","-","-","-"
"01198-08","REFORMATÓRIO DAS DEPRAVADAS","-","-","-"
"01319-02","TARAS ERÓTICAS","-","-","-"
"01200-05","ROGO A DEUS E MANDO BALA","-","-","-"
"01296-03e04","FUMO CAPEIRO UMA NOVA RIQUEZA FLORESCENDO NA BAHIA","-","-","-"
"01263-01e02","-","-","-","-"
"01312-01","DIABÓLICOS HERDEIROS, Os","-","-","-"
"01312-04","DIABÓLICOS HERDEIROS, Os","-","-","-"
"01324-01","ESTRELA NUA","-","-","-"
"01324-03","ESTRELA NUA","-","-","-"
"01319-04e05","TARAS ERÓTICAS","-","-","-"
"01325-01","PISTOLEIRO CHAMADO PAPACO, Um","-","-","-"
"01325-02","PISTOLEIRO CHAMADO PAPACO, Um","-","-","-"
"01325-02e04","PISTOLEIRO CHAMADO PAPACO, Um","-","-","-"
"01325-03","PISTOLEIRO CHAMADO PAPACO, Um","-","-","-"
"01200-04","ROGO A DEUS E MANDO BALA","-","-","-"
"01200-06","ROGO A DEUS E MANDO BALA","-","-","-"
"01316-05","FÁBRICA DE CAMISINHAS, A","-","-","-"
"01316-06","FÁBRICA DE CAMISINHAS, A","-","-","-"
"01316-07e08","FÁBRICA DE CAMISINHAS, A","-","-","-"
"01277-07e08","TILÁPIA DO NILO","-","-","-"
"01300-03","ARMAS, As","-","-","-"
"01300-05e06","ARMAS, As","-","-","-"
"01313-03","TARA DAS SETE AVENTUREIRAS, A","-","-","-"
"01205-09","À FLOR DA PELE","-","-","-"
"01300-04","ARMAS, As","-","-","-"
"01287-07","PENNACCHI","-","-","-"
"01287-08","FULVIO PENNACCHI","-","-","-"
"01307-03","-","-","-","-"
"01307-04","-","-","-","-"
"01313-01","TARA DAS SETE AVENTUREIRAS, A","-","-","-"
"01313-02","TARA DAS SETE AVENTUREIRAS, A","-","-","-"
"01311-07","-","-","-","-"
"01311-08","-","-","-","-"
"01293-05","PRESENTE DE NATAL","-","-","-"
"01293-06e07","PRESENTE DE NATAL","-","-","-"
"01293-03","PRESENTE DE NATAL","-","-","-"
"01293-04","PRESENTE DE NATAL","-","-","-"
"01350-05","SIGNO DE ESCORPIÃO, O","-","-","-"
"01350-06","SIGNO DE ESCORPIÃO, O","-","-","-"
"01350-07a09","SIGNO DE ESCORPIÃO, O","-","-","-"
"01317-06","JECA E O BODE","-","-","-"
"01317-07","JECA E O BODE","-","-","-"
"01317-08e09","JECA E O BODE","-","-","-"
"01151-10","INAUGURAÇÃO DO CINE ASTOR BRASÍLIA","-","-","-"
"01151-11","INAUGURAÇÃO DO CINE ASTOR BRASÍLIA","-","-","-"
"01281-09","PORQUE DA CALAGEM, O","-","-","-"
"01281-10","PORQUE DA CALAGEM, O","-","-","-"
"01281-11","PORQUE DA CALAGEM, O","-","-","-"
"01288-01","MORTE COMANDA O CANGAÇO, A","-","-","-"
"01288-03e04","MORTE COMANDA O CANGAÇO, A","-","-","-"
"01288-02","MORTE COMANDA O CANGAÇO, A","-","-","-"
"01307-01","VOTUPORANGA 78","-","-","-"
"01307-02","VOTUPORANGA 78","-","-","-"
"01466-09e10","PRONTO SOCORRO","-","-","-"
"01310-01","PEQUENO MUNDO DE MARCOS, O","-","-","-"
"01310-03","PEQUENO MUNDO DE MARCOS, O","-","-","-"
"01310-05","PEQUENO MUNDO DE MARCOS, O","-","-","-"
"01297-01","-","-","-","-"
"01297-02","-","-","-","-"
"01276-02","ROTEIRO DOS PAMPAS","-","-","-"
"01276-04","ROTEIRO DOS PAMPAS","-","-","-"
"01467-05e06","GOVERNO DO ESTADO DO PIAUÍ","-","-","-"
"01345-01","-","-","-","-"
"01204-08","KUNG FU CONTRA AS BONECAS","-","-","-"
"01204-09","KUNG FU CONTRA AS BONECAS","-","-","-"
"01287-03","CAMINHOS DE FANG, Os","-","-","-"
"01287-04","CAMINHOS DE FANG, Os","-","-","-"
"01262-06","CASA DAS RETORTAS","-","-","-"
"01262-07","CASA DAS RETORTAS","-","-","-"
"01284-01e02","PANCA DE VALENTE","-","-","-"
"01591-01","CRAQUE, O","-","-","-"
"01591-03","CRAQUE, O","-","-","-"
"01285-01","UNIVERSO LÍRICO DE TERUZ, O","-","-","-"
"01285-02","UNIVERSO LÍRICO DE TERUZ, O","-","-","-"
"01311-02","-","-","-","-"
"01311-03","-","-","-","-"
"01311-04","-","-","-","-"
"01311-05","-","-","-","-"
"01280-05","STOP","-","-","-"
"01280-06","STOP","-","-","-"
"01280-07","STOP","-","-","-"
"01311-01","-","-","-","-"
"01285-06","DA FONTE AO CONSUMO","-","-","-"
"01285-07","DA FONTE AO CONSUMO","-","-","-"
"01340-01","DESCONHECIDO BATE À PORTA, Um","-","-","-"
"01340-03e04","DESCONHECIDO BATE À PORTA, Um","-","-","-"
"01340-02","DESCONHECIDO BATE À PORTA, Um","-","-","-"
"01282-01","GADO LEITEIRO PRESENTE E FUTURO","-","-","-"
"01282-02","GADO LEITEIRO PRESENTE E FUTURO","-","-","-"
"01282-03","GADO LEITEIRO PRESENTE E FUTURO","-","-","-"
"01201-01","NO RANCHO FUNDO","-","-","-"
"01201-03","NO RANCHO FUNDO","-","-","-"
"01201-02","NO RANCHO FUNDO","-","-","-"
"01301-06","NOITES DE IEMANJÁ, As","-","-","-"
"01323-03","TURBILHÃO DE PRAZERES","-","-","-"
"01323-04","TURBILHÃO DE PRAZERES","-","-","-"
"01301-05","NOITES DE IEMANJÁ, As","-","-","-"
"01301-07","NOITES DE IEMANJÁ, As","-","-","-"
"01301-08","NOITES DE IEMANJÁ, As","-","-","-"
"01301-09","NOITES DE IEMANJÁ, As","-","-","-"
"01201-04","CANGACEIRO SEM DEUS, O","-","-","-"
"01201-06A","CANGACEIRO SEM DEUS, O","-","-","-"
"01201-06B","CANGACEIRO SEM DEUS, O","-","-","-"
"01201-05","CANGACEIRO SEM DEUS, O","-","-","-"
"01430-05","-","-","-","-"
"01430-06","-","-","-","-"
"01298-01","CELEIRO DE DIVISAS","-","-","-"
"01323-05","ONDA NOVA","-","-","-"
"01323-07e08","ONDA NOVA","-","-","-"
"01429-03","ROMUALDO E JULIANA","-","-","-"
"01429-06","ROMUALDO E JULIANA","-","-","-"
"01429-04e05","ROMUALDO E JULIANA","-","-","-"
"01300-08","CASA DAS TENTAÇÕES, A","-","-","-"
"01323-06","ONDA NOVA","-","-","-"
"01301-02","FORA DAS GRADES","-","-","-"
"01285-08e09","HELENOS","-","-","-"
"01361-01","-","-","-","-"
"01361-03","-","-","-","-"
"01361-04e05","-","-","-","-"
"01359-01","AVENTURAS D'UM DETETIVE PORTUGUÊS","-","-","-"
"01359-02","AVENTURAS D'UM DETETIVE PORTUGUÊS","-","-","-"
"01315-04e05","CASSINO DAS BACANAIS, O","-","-","-"
"01316-01","ORGIA DE LIBERTINAS","-","-","-"
"01316-03e04","ORGIA DE LIBERTINAS","-","-","-"
"04154-05e06","SIMITERIO DO ADÃO E EVA","-","-","-"
"01316-02","ORGIA DE LIBERTINAS","-","-","-"
"01313-05","DEPRAVADOS EM FÚRIA","-","-","-"
"01286-01","REALIDADE DE LOURENÇO, A","-","-","-"
"01286-02","REALIDADE DE LOURENÇO, A","-","-","-"
"01313-04","DEPRAVADOS EM FÚRIA","-","-","-"
"01313-06","DEPRAVADOS EM FÚRIA","-","-","-"
"01313-07","DEPRAVADOS EM FÚRIA","-","-","-"
"01338-01","LEÃO DO NORTE, O","-","-","-"
"01338-03a05","LEÃO DO NORTE, O","-","-","-"
"01337-03e04","LUCIANA A COMERCIÁRIA","19891002","-","-"
"01338-02","LEÃO DO NORTE, O","-","-","-"
"01339-03","CAMPEÕES, Os","-","-","-"
"01339-04","CAMPEÕES, Os","-","-","-"
"01339-05","CAMPEÕES, Os","-","-","-"
"01337-01","LUCIANA A COMERCIÁRIA","19891002","-","-"
"01337-02","LUCIANA A COMERCIÁRIA","19891002","-","-"
"01315-01","CASSINO DAS BACANAIS, O","-","-","-"
"01315-03","CASSINO DAS BACANAIS, O","-","-","-"
"01280-10","CULTURA DA SOJA (1) : FITOSSANIDADE","-","-","-"
"01280-11","CULTURA DA SOJA (1) : FITOSSANIDADE","-","-","-"
"01315-02","CASSINO DAS BACANAIS, O","-","-","-"
"01315-07","ELAS SÓ TRANSAM NO DISCO","-","-","-"
"01262-02","BRUXA E FADA","-","-","-"
"01262-03","BRUXA E FADA","-","-","-"
"01315-06","ELAS SÓ TRANSAM NO DISCO","-","-","-"
"01315-10","ELAS SÓ TRANSAM NO DISCO","-","-","-"
"01315-08e09","ELAS SÓ TRANSAM NO DISCO","-","-","-"
"01280-08","CAMINHANDO PARA UM BRASIL MAIOR","-","-","-"
"01280-09","CAMINHANDO PARA UM BRASIL MAIOR","-","-","-"
"01326-05","GRANDE TREPADA, A","-","-","-"
"01326-06","GRANDE TREPADA, A","-","-","-"
"01326-10","GRANDE TREPADA, A","-","-","-"
"01326-07a09","GRANDE TREPADA, A","-","-","-"
"01361-02","-","-","-","-"
"01264-13","-","-","-","-"
"01264-11","-","-","-","-"
"01307-07","BEIJO DA MULHER ARANHA, O","-","-","-"
"01308-08","BEIJO DA MULHER ARANHA, O","-","-","-"
"01308-09e10","BEIJO DA MULHER ARANHA, O","-","-","-"
"01307-05","BEIJO DA MULHER ARANHA, O","-","-","-"
"01307-08a10","BEIJO DA MULHER ARANHA, O","-","-","-"
"01308-05a07","BEIJO DA MULHER ARANHA, O","-","-","-"
"01308-01a03","BEIJO DA MULHER ARANHA, O","-","-","-"
"01308-04","BEIJO DA MULHER ARANHA, O","-","-","-"
"01355-01","COMO EVITAR O DESQUITE","-","-","-"
"01355-03e04","COMO EVITAR O DESQUITE","-","-","-"
"04154-04","SIMITERIO DO ADÃO E EVA","-","-","-"
"01267-07","-","-","-","-"
"01267-08","-","-","-","-"
"01355-02","COMO EVITAR O DESQUITE","-","-","-"
"01319-07","VIGARISTAS DO SEXO, AS","-","-","-"
"01319-08a10","VIGARISTAS DO SEXO, AS","-","-","-"
"04154-03","SIMITERIO DO ADÃO E EVA","-","-","-"
"04154-02","SIMITERIO DO ADÃO E EVA","-","-","-"
"01301-01","FORA DAS GRADES","-","-","-"
"01301-03e04","FORA DAS GRADES","-","-","-"
"04068-13","DOCE DELÍRIO","95MAR","-","-"
"01357-05","OTOKO NO NAKIDOKORO","-","-","-"
"01357-06","OTOKO NO NAKIDOKORO","-","-","-"
"01357-07","OTOKO NO NAKIDOKORO","-","-","-"
"01267-05","-","-","-","-"
"01267-06","-","-","-","-"
"01357-04","OTOKO NO NAKIDOKORO","-","-","-"
"01291-04e06","MANSÃO DO SEXO EXPLÍCITO, A","-","-","-"
"01291-04","MANSÃO DO SEXO EXPLÍCITO, A","-","-","-"
"01291-05","MANSÃO DO SEXO EXPLÍCITO, A","-","-","-"
"01291-03","MANSÃO DO SEXO EXPLÍCITO, A","-","-","-"
"01267-01e02","COMUNIDADES RURBANAS : UMA ESCALA INTERMEDIÁRIA ENTRE O RURAL E O URBANO","-","-","-"
"01326-01","SANDRA A LIBERTINA","92SET17","-","-"
"01326-02","SANDRA A LIBERTINA","-","-","-"
"01326-03","SANDRA A LIBERTINA","92SET16","-","-"
"01267-03","-","-","-","-"
"01267-04","-","-","-","-"
"01324-05","OLHO MÁGICO DO AMOR, O","-","-","-"
"01324-06","OLHO MÁGICO DO AMOR, O","-","-","-"
"01324-07e08","OLHO MÁGICO DO AMOR, O","-","-","-"
"01355-05","-","-","-","-"
"01359-04","DONZELO, O","-","-","-"
"01359-07e08","DONZELO, O","-","-","-"
"01292-01","NINFAS DIABÓLICAS","-","-","-"
"01292-03e04","NINFAS DIABÓLICAS","-","-","-"
"01292-05e06","NINFAS DIABÓLICAS","-","-","-"
"01291-07","PRESENÇA DE MARISA","-","-","-"
"04780-04e05","BRISAS DO AMOR","-","-","-"
"01325-09","BRISAS DO AMOR","-","-","-"
"01329-02","DEUSES E OS MORTOS, Os","-","-","-"
"01325-05","BRISAS DO AMOR","-","-","-"
"01325-06","BRISAS DO AMOR","-","-","-"
"01318-05","ATÉ O ÚLTIMO MERCENÁRIO","-","-","-"
"01318-06","ATÉ O ÚLTIMO MERCENÁRIO","-","-","-"
"01300-07","CASA DAS TENTAÇÕES, A","-","-","-"
"01300-09e10","CASA DAS TENTAÇÕES, A","-","-","-"
"04154-01","SIMITERIO DO ADÃO E EVA","-","-","-"
"01300-11","CASA DAS TENTAÇÕES, A","-","-","-"
"01352-01","CHAPÉU DE COURO","-","-","-"
"01352-02","CHAPÉU DE COURO","-","-","-"
"01352-03","CHAPÉU DE COURO","-","-","-"
"01352-04","CHAPÉU DE COURO","-","-","-"
"01366-01","HIDING PLACE, The","-","-","-"
"01355-07","-","-","-","-"
"01264-05e06","AMPARO : DA INFÂNCIA À VELHICE","-","-","-"
"01362-01","MULHER NATUREZA","-","-","-"
"01362-02","MULHER NATUREZA","-","-","-"
"01347-01","VAI E VEM À BRASILEIRA","-","-","-"
"01354-01","EXTREMOS DO PRAZER","-","-","-"
"01354-09","GATAS : MULHERES DE ALUGUEL, As","-","-","-"
"01341-01","AMOR VORAZ","-","-","-"
"01341-05","AMOR VORAZ","-","-","-"
"01343-01","MULHERES AMAM POR CONVENIÊNCIA, AS","-","-","-"
"01343-03","MULHERES AMAM POR CONVENIÊNCIA, AS","-","-","-"
"01343-04","MULHERES AMAM POR CONVENIÊNCIA, AS","-","-","-"
"01362-03","CASTELO DAS TARAS, O","-","-","-"
"01362-05e06","CASTELO DAS TARAS, O","-","-","-"
"01341-03e04","AMOR VORAZ","-","-","-"
"01353-01","DA TERRA NASCE O ODIO","-","-","-"
"04156-05","GIGANTE DA AMÉRICA, O","19950802","-","-"
"01344-01","DIACUÍ : A VIAGEM DE VOLTA","-","-","-"
"01356-05e06","MULHERES VIOLENTADAS","-","-","-"
"01352-06","FULVIO PENACCHI","-","-","-"
"01360-05","-","-","-","-"
"01360-06","-","-","-","-"
"01360-07","-","-","-","-"
"01360-08","-","-","-","-"
"01356-01","MULHERES VIOLENTADAS","-","-","-"
"01356-02","MULHERES VIOLENTADAS","-","-","-"
"01356-03","MULHERES VIOLENTADAS","-","-","-"
"01356-04","MULHERES VIOLENTADAS","-","-","-"
"01430-01","ABAS LARGAS, Os","-","-","-"
"01144-03a05","LAMPIÃO REI DO CANGAÇO","-","-","-"
"04156-03","<20=twenty> MILLION MILES TO EARTH","19950802","-","-"
"04156-02","MATOU A FAMÍLIA E FOI AO CINEMA","95AGO02","-","-"
"01300-01","EVOCAÇÃO HISTÓRICA","-","-","-"
"01300-02","EVOCAÇÃO HISTÓRICA","-","-","-"
"01430-02","ABAS LARGAS, Os","-","-","-"
"01434-01","JESUÍNO BRILHANTE : O CANGACEIRO","-","-","-"
"01291-01","MEDITAÇÃO DINÂMICA","-","-","-"
"01291-02","-","-","-","-"
"01434-02","JESUÍNO BRILHANTE : O CANGACEIRO","-","-","-"
"01434-03e04","JESUÍNO BRILHANTE : O CANGACEIRO","-","-","-"
"04156-01","SERMÕES : A HISTÓRIA DE ANTONIO VIEIRA, OS","95AGO02","-","-"
"01229-08","DELITTO D'AMORE","-","-","-"
"01431-01","CON LA MUERTE A LA ESPALDA","-","-","-"
"01431-03e04","CON LA MUERTE A LA ESPALDA","-","-","-"
"01231-02","LIDÉ Z MARINGOTEK","-","-","-"
"01222-06","-","-","-","-"
"01218-05","LASKY JEDNE PLAVOVLASKY","-","-","-"
"01229-06","-","-","-","-"
"01361-06","-","-","-","-"
"01361-08","-","-","-","-"
"01361-09e10","-","-","-","-"
"01361-07","-","-","-","-"
"01309-01","LÚCIO FLÁVIO O PASSAGEIRO DA AGONIA","-","-","-"
"01284-06","GUARANI","-","-","-"
"01284-07","GUARANI","-","-","-"
"01230-07","CERNY PETR","-","-","-"
"01230-08","CERNY PETR","-","-","-"
"01229-03","DUE MAFIOSI CONTRO GOLDGINGER","-","-","-"
"01229-04","DUE MAFIOSI CONTRO GOLDGINGER","-","-","-"
"01222-07","JIM IL PRIMO","-","-","-"
"01222-08","JIM IL PRIMO","-","-","-"
"01144-06","SAMBA EM BRASÍLIA","-","-","-"
"01144-07","SAMBA EM BRASÍLIA","-","-","-"
"01144-08","SAMBA EM BRASÍLIA","-","-","-"
"01228-06","MARKETA LAZAROVÁ","-","-","-"
"01228-07","MARKETA LAZAROVÁ","-","-","-"
"01274-03","-","-","-","-"
"01274-04","-","-","-","-"
"01226-05","KDO CHCE ZABIT JESSII?","-","-","-"
"01226-06","KDO CHCE ZABIT JESSII?","-","-","-"
"01299-03e04","LONDRINA","-","-","-"
"01339-01","CAMPEÕES, Os","-","-","-"
"01339-02","CAMPEÕES, Os","-","-","-"
"05010-09e10","SUPER FÊMEA, A","-","-","-"
"01350-01","IRACEMA A VIRGEM DOS LÁBIOS DE MEL","-","-","-"
"01350-02","IRACEMA A VIRGEM DOS LÁBIOS DE MEL","-","-","-"
"01350-03e04","IRACEMA A VIRGEM DOS LÁBIOS DE MEL","-","-","-"
"01222-03","AT' ZIJE REPUBLIKA","-","-","-"
"01231-01","LIDÉ Z MARINGOTEK","-","-","-"
"01198-03","PAIXÃO NA PRAIA","-","-","-"
"01225-06","CRIPTA E L'INCUBO, La","-","-","-"
"01144-01","LAMPIÃO REI DO CANGAÇO","-","-","-"
"01144-02","LAMPIÃO REI DO CANGAÇO","-","-","-"
"01225-08","DISORDINE, Il","-","-","-"
"01225-09","DISORDINE, Il","-","-","-"
"01228-11","KAZDY TYZDEN SEDEM DNÍ","-","-","-"
"01227-03","AMORI DI ERCOLE, Gli","-","-","-"
"01227-01","<7=sette> DOLLARI SUL ROSSO","-","-","-"
"01227-02","<7=sette> DOLLARI SUL ROSSO","-","-","-"
"01330-01","ANÚNCIO DE JORNAL","-","-","-"
"01330-02","ANÚNCIO DE JORNAL","-","-","-"
"01330-03e04","ANÚNCIO DE JORNAL","-","-","-"
"01332-01","DEU VEADO NA CABEÇA","-","-","-"
"01332-02","DEU VEADO NA CABEÇA","-","-","-"
"01332-03","DEU VEADO NA CABEÇA","-","-","-"
"01332-04e05","DEU VEADO NA CABECA","-","-","-"
"01280-03","RECREAÇÃO E CULTURA AO ENCONTRO DO POVO","-","-","-"
"01280-04","RECREAÇÃO E CULTURA AO ENCONTRO DO POVO","-","-","-"
"01222-09","CIDADE AMEAÇADA","-","-","-"
"01222-10","CIDADE AMEAÇADA","-","-","-"
"01226-02","PASSWORD: UCCIDETE AGENTE GORDON","-","-","-"
"01228-02","OSTRE SLEDOVANE VLAKY","-","-","-"
"01228-03e05","OSTRE SLEDOVANE VLAKY","-","-","-"
"01228-04","OSTRE SLEDOVANE VLAKY","-","-","-"
"01228-10","KAZDY TYZDEN SEDEM DNÍ","-","-","-"
"01223-09","SANDOKAN ALLA RISCOSSA","-","-","-"
"01223-10","SANDOKAN ALLA RISCOSSA","-","-","-"
"01229-09","DIRTY GAME, The","-","-","-"
"01229-10","DIRTY GAME, The","-","-","-"
"01275-03","BIENAL DO FOLCLORE GAÚCHO","-","-","-"
"01275-04","BIENAL DO FOLCLORE GAÚCHO","-","-","-"
"01285-03e04","ARTE FANTÁSTICA DE MÁRIO GRUBER, A","-","-","-"
"01285-05","ARTE FANTÁSTICA DE MÁRIO GRUBER, A","-","-","-"
"01198-01","PAIXÃO NA PRAIA","-","-","-"
"01198-02","PAIXÃO NA PRAIA","-","-","-"
"04779-02","VIOLÊNCIA NA CARNE","-","-","-"
"04779-04e05","VIOLÊNCIA NA CARNE","-","-","-"
"01262-04","TZUBRA TZUMA","-","-","-"
"01262-05","TZUBRA TZUMA","-","-","-"
"04779-03","VIOLÊNCIA NA CARNE","-","-","-"
"01268-01a03","<XXVIIa.=Vigésima Sétima> EXPOSIÇÃO AGRO-PECUÁRIA E INDUSTRIAL DE CORDEIRO","-","-","-"
"01264-08","-","-","-","-"
"01265-02","-","-","-","-"
"01264-07","-","-","-","-"
"01265-01","-","-","-","-"
"01284-08","MORENINHA, A","-","-","-"
"01284-10a12","MORENINHA, A","-","-","-"
"01284-09","MORENINHA, A","-","-","-"
"04123-03","KANTO NAGAREMONO","-","-","-"
"04152-01","RAGING BULL","95JUL25","-","-"
"01226-03","-","-","-","-"
"01226-04","-","-","-","-"
"01230-03","MAIGRET A PIGALLE","-","-","-"
"01230-10","SICARIO 77 VIVO O MORTO","-","-","-"
