"country_name","program_name","FY1946"
"Asia (not specified)","Development Assistance",
"Asia (not specified)","Economic Support Fund/Security Support Assistance",
"Asia (not specified)","Global HIV/AIDS Initiative",
"Asia (not specified)","Global Health and Child Survival",
"Asia (not specified)","Inactive Programs",1000
"Asia (not specified)","Migration and Refugee Assistance",
"Asia (not specified)","Narcotics Control",
"Asia (not specified)","Nonproliferation, Anti-Terrorism, Demining and Related",
"Asia (not specified)","Other Active Grant Programs",
"Asia (not specified)","Other State Assistance",
"Asia (not specified)","Other USAID Assistance",
"Asia (not specified)","Other USDA Assistance",
"Asia (not specified)","Peace Corps",
"Asia (not specified)","Title I",
"Asia (not specified)","Title II",
"Asia (not specified)","Voluntary Contributions to Multilateral Organizations, Total",
"Australia","Department of Defense Security Assistance",
"Australia","Inactive Programs",
"Australia","Migration and Refugee Assistance",
"Australia","Other Active Grant Programs",
"Austria","Inactive Programs",65800000
"Austria","Migration and Refugee Assistance",
"Austria","Other Active Grant Programs",
"Austria","Other USAID Assistance",
"Austria","Title I",
"Austria","Title II",
"Azerbaijan","Child Survival and Health",
"Azerbaijan","Department of Defense Security Assistance",
"Azerbaijan","Development Assistance",
"Azerbaijan","Economic Support Fund/Security Support Assistance",
"Azerbaijan","Global Health and Child Survival",
"Azerbaijan","Migration and Refugee Assistance",
"Azerbaijan","Narcotics Control",
"Azerbaijan","Nonproliferation, Anti-Terrorism, Demining and Related",
"Azerbaijan","Other Active Grant Programs",
"Azerbaijan","Other State Assistance",
"Azerbaijan","Other USAID Assistance",
"Azerbaijan","Other USDA Assistance",
"Azerbaijan","Peace Corps",
"Azerbaijan","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Azerbaijan","Title I",
"Azerbaijan","Title II",
"Bahamas, The","Department of Defense Security Assistance",
"Bahamas, The","Narcotics Control",
"Bahamas, The","Nonproliferation, Anti-Terrorism, Demining and Related",
"Bahamas, The","Other Active Grant Programs",
"Bahamas, The","Other State Assistance",
"Bahamas, The","Other USAID Assistance",
"Bahamas, The","Peace Corps",
"Bahamas, The","Title II",
"Bahrain","Economic Support Fund/Security Support Assistance",
"Bahrain","Nonproliferation, Anti-Terrorism, Demining and Related",
"Bahrain","Other Active Grant Programs",
"Bahrain","Other State Assistance",
"Bahrain","Other USAID Assistance",
"Bahrain","Peace Corps",
"Bangladesh","Child Survival and Health",
"Bangladesh","Department of Defense Security Assistance",
"Bangladesh","Development Assistance",
"Bangladesh","Economic Support Fund/Security Support Assistance",
"Bangladesh","Food For Education",
"Bangladesh","Global Health and Child Survival",
"Bangladesh","Migration and Refugee Assistance",
"Bangladesh","Narcotics Control",
"Bangladesh","Nonproliferation, Anti-Terrorism, Demining and Related",
"Bangladesh","Other Active Grant Programs",
"Bangladesh","Other State Assistance",
"Bangladesh","Other USAID Assistance",
"Bangladesh","Peace Corps",
"Bangladesh","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Bangladesh","Title I",
"Bangladesh","Title II",
"Bangladesh","Title III",
"Barbados","Department of Defense Security Assistance",
"Barbados","Global HIV/AIDS Initiative",
"Barbados","Narcotics Control",
"Barbados","Nonproliferation, Anti-Terrorism, Demining and Related",
"Barbados","Other Active Grant Programs",
"Barbados","Other USAID Assistance",
"Barbados","Title II",
"Belarus","Child Survival and Health",
"Belarus","Department of Defense Security Assistance",
"Belarus","Development Assistance",
"Belarus","Economic Support Fund/Security Support Assistance",
"Belarus","Migration and Refugee Assistance",
"Belarus","Nonproliferation, Anti-Terrorism, Demining and Related",
"Belarus","Other Active Grant Programs",
"Belarus","Other State Assistance",
"Belarus","Other USAID Assistance",
"Belarus","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Belarus","Title I",
"Belarus","Title II",
"Belgium","Department of Defense Security Assistance",
"Belgium","Inactive Programs",600000
"Belgium","Migration and Refugee Assistance",
"Belgium","Narcotics Control",
"Belgium","Other Active Grant Programs",
"Belgium","Other USAID Assistance",
"Belgium","Title II",
"Belize","Department of Defense Security Assistance",
"Belize","Economic Support Fund/Security Support Assistance",
"Belize","Global Health and Child Survival",
"Belize","Narcotics Control",
"Belize","Other Active Grant Programs",
"Belize","Other State Assistance",
"Belize","Other USAID Assistance",
"Belize","Other USDA Assistance",
"Belize","Peace Corps",
"Belize","Title II",
"Benin","Child Survival and Health",
"Benin","Department of Defense Security Assistance",
"Benin","Development Assistance",
"Benin","Economic Support Fund/Security Support Assistance",
"Benin","Food For Education",
"Benin","Global HIV/AIDS Initiative",
"Benin","Global Health and Child Survival",
"Benin","Migration and Refugee Assistance",
"Benin","Millennium Challenge Corporation",
"Benin","Narcotics Control",
"Benin","Other Active Grant Programs",
"Benin","Other State Assistance",
"Benin","Other USAID Assistance",
"Benin","Peace Corps",
"Benin","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Benin","Title II",
"Bhutan","Food For Education",
"Bhutan","Other Active Grant Programs",
"Bhutan","Title II",
"Bolivia","Child Survival and Health",
"Bolivia","Department of Defense Security Assistance",
"Bolivia","Development Assistance",
"Bolivia","Economic Support Fund/Security Support Assistance",
"Bolivia","Food For Education",
"Bolivia","Global Health and Child Survival",
"Bolivia","Inactive Programs",400000
"Bolivia","Millennium Challenge Corporation",
"Bolivia","Narcotics Control",
"Bolivia","Other Active Grant Programs",
"Bolivia","Other State Assistance",
"Bolivia","Other USAID Assistance",
"Bolivia","Other USDA Assistance",
"Bolivia","Peace Corps",
"Bolivia","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Bolivia","Title I",
"Bolivia","Title II",
"Bolivia","Title III",
"Bosnia & Herzegovina","Child Survival and Health",
"Bosnia & Herzegovina","Department of Defense Security Assistance",
"Bosnia & Herzegovina","Development Assistance",
"Bosnia & Herzegovina","Economic Support Fund/Security Support Assistance",
"Bosnia & Herzegovina","Food For Education",
"Bosnia & Herzegovina","Migration and Refugee Assistance",
"Bosnia & Herzegovina","Narcotics Control",
"Bosnia & Herzegovina","Nonproliferation, Anti-Terrorism, Demining and Related",
"Bosnia & Herzegovina","Other Active Grant Programs",
"Bosnia & Herzegovina","Other State Assistance",
"Bosnia & Herzegovina","Other USAID Assistance",
"Bosnia & Herzegovina","Peace Corps",
"Bosnia & Herzegovina","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Bosnia & Herzegovina","Title I",
"Bosnia & Herzegovina","Title II",
"Botswana","Child Survival and Health",
"Botswana","Department of Defense Security Assistance",
"Botswana","Development Assistance",
"Botswana","Economic Support Fund/Security Support Assistance",
"Botswana","Global HIV/AIDS Initiative",
"Botswana","Global Health and Child Survival",
"Botswana","Narcotics Control",
"Botswana","Nonproliferation, Anti-Terrorism, Demining and Related",
"Botswana","Other Active Grant Programs",
"Botswana","Other State Assistance",
"Botswana","Other USAID Assistance",
"Botswana","Peace Corps",
"Botswana","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Botswana","Title II",
"Brazil","Child Survival and Health",
"Brazil","Department of Defense Security Assistance",
"Brazil","Development Assistance",
"Brazil","Economic Support Fund/Security Support Assistance",
"Brazil","Global HIV/AIDS Initiative",
"Brazil","Global Health and Child Survival",
"Brazil","Inactive Programs",17200000
"Brazil","Migration and Refugee Assistance",
"Brazil","Narcotics Control",
"Brazil","Nonproliferation, Anti-Terrorism, Demining and Related",
"Brazil","Other Active Grant Programs",
"Brazil","Other State Assistance",
"Brazil","Other USAID Assistance",
"Brazil","Other USDA Assistance",
"Brazil","Peace Corps",
"Brazil","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Brazil","Title I",
"Brazil","Title II",
"Brunei","Department of Defense Security Assistance",
"Brunei","Nonproliferation, Anti-Terrorism, Demining and Related",
"Bulgaria","Child Survival and Health",
"Bulgaria","Department of Defense Security Assistance",
"Bulgaria","Development Assistance",
"Bulgaria","Economic Support Fund/Security Support Assistance",
"Bulgaria","Migration and Refugee Assistance",
"Bulgaria","Narcotics Control",
"Bulgaria","Nonproliferation, Anti-Terrorism, Demining and Related",
"Bulgaria","Other Active Grant Programs",
"Bulgaria","Other State Assistance",
"Bulgaria","Other USAID Assistance",
"Bulgaria","Peace Corps",
"Bulgaria","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Bulgaria","Title I",
"Bulgaria","Title II",
"Burkina Faso","Child Survival and Health",
"Burkina Faso","Department of Defense Security Assistance",
"Burkina Faso","Development Assistance",
"Burkina Faso","Economic Support Fund/Security Support Assistance",
"Burkina Faso","Food For Education",
"Burkina Faso","Global Health and Child Survival",
"Burkina Faso","Migration and Refugee Assistance",
"Burkina Faso","Millennium Challenge Corporation",
"Burkina Faso","Other Active Grant Programs",
"Burkina Faso","Other State Assistance",
"Burkina Faso","Other USAID Assistance",
"Burkina Faso","Peace Corps",
"Burkina Faso","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Burkina Faso","Title II",
"Burma (Myanmar)","Child Survival and Health",
"Burma (Myanmar)","Department of Defense Security Assistance",
"Burma (Myanmar)","Development Assistance",
"Burma (Myanmar)","Economic Support Fund/Security Support Assistance",
"Burma (Myanmar)","Global Health and Child Survival",
"Burma (Myanmar)","Inactive Programs",
"Burma (Myanmar)","Migration and Refugee Assistance",
"Burma (Myanmar)","Narcotics Control",
"Burma (Myanmar)","Other Active Grant Programs",
"Burma (Myanmar)","Other State Assistance",
"Burma (Myanmar)","Other USAID Assistance",
"Burma (Myanmar)","Title I",
"Burma (Myanmar)","Title II",
"Burundi","Child Survival and Health",
"Burundi","Department of Defense Security Assistance",
"Burundi","Development Assistance",
"Burundi","Economic Support Fund/Security Support Assistance",
"Burundi","Global Health and Child Survival",
"Burundi","Migration and Refugee Assistance",
"Burundi","Narcotics Control",
"Burundi","Nonproliferation, Anti-Terrorism, Demining and Related",
"Burundi","Other Active Grant Programs",
"Burundi","Other State Assistance",
"Burundi","Other USAID Assistance",
"Burundi","Peace Corps",
"Burundi","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Burundi","Title I",
"Burundi","Title II",
"Cambodia","Child Survival and Health",
"Cambodia","Department of Defense Security Assistance",
"Cambodia","Development Assistance",
"Cambodia","Economic Support Fund/Security Support Assistance",
"Cambodia","Food For Education",
"Cambodia","Global HIV/AIDS Initiative",
"Cambodia","Global Health and Child Survival",
"Cambodia","Migration and Refugee Assistance",
"Cambodia","Narcotics Control",
"Cambodia","Nonproliferation, Anti-Terrorism, Demining and Related",
"Cambodia","Other Active Grant Programs",
"Cambodia","Other State Assistance",
"Cambodia","Other USAID Assistance",
"Cambodia","Peace Corps",
"Cambodia","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Cambodia","Title I",
"Cambodia","Title II",
"Cameroon","Child Survival and Health",
"Cameroon","Department of Defense Security Assistance",
"Cameroon","Development Assistance",
"Cameroon","Economic Support Fund/Security Support Assistance",
"Cameroon","Food For Education",
"Cameroon","Global HIV/AIDS Initiative",
"Cameroon","Global Health and Child Survival",
"Cameroon","Migration and Refugee Assistance",
"Cameroon","Narcotics Control",
"Cameroon","Other Active Grant Programs",
"Cameroon","Other State Assistance",
"Cameroon","Other USAID Assistance",
"Cameroon","Peace Corps",
"Cameroon","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Cameroon","Title I",
"Cameroon","Title II",
"Canada","Department of Defense Security Assistance",
"Canada","Inactive Programs",
"Canada","Other Active Grant Programs",
"Cape Verde","Department of Defense Security Assistance",
"Cape Verde","Development Assistance",
"Cape Verde","Economic Support Fund/Security Support Assistance",
"Cape Verde","Millennium Challenge Corporation",
"Cape Verde","Narcotics Control",
"Cape Verde","Other Active Grant Programs",
"Cape Verde","Other State Assistance",
"Cape Verde","Other USAID Assistance",
"Cape Verde","Peace Corps",
"Cape Verde","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Cape Verde","Title II",
"Caribbean (not specified)","Child Survival and Health",
"Caribbean (not specified)","Department of Defense Security Assistance",
"Caribbean (not specified)","Development Assistance",
"Caribbean (not specified)","Economic Support Fund/Security Support Assistance",
"Caribbean (not specified)","Global HIV/AIDS Initiative",
"Caribbean (not specified)","Global Health and Child Survival",
"Caribbean (not specified)","Migration and Refugee Assistance",
"Caribbean (not specified)","Narcotics Control",
"Caribbean (not specified)","Nonproliferation, Anti-Terrorism, Demining and Related",
"Caribbean (not specified)","Other Active Grant Programs",
"Caribbean (not specified)","Other USAID Assistance",
"Caribbean (not specified)","Other USDA Assistance",
"Caribbean (not specified)","Peace Corps",
"Caribbean (not specified)","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Caribbean (not specified)","Title II",
"Caribbean (not specified)","Voluntary Contributions to Multilateral Organizations, Total",
"Central African Republic","Development Assistance",
"Central African Republic","Economic Support Fund/Security Support Assistance",
"Central African Republic","Migration and Refugee Assistance",
"Central African Republic","Other Active Grant Programs",
"Central African Republic","Other State Assistance",
"Central African Republic","Other USAID Assistance",
"Central African Republic","Peace Corps",
"Central African Republic","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Central African Republic","Title I",
"Central African Republic","Title II",
"Central African Republic","Voluntary Contributions to Multilateral Organizations, Total",
"Central America (not specified)","Child Survival and Health",
"Central America (not specified)","Department of Defense Security Assistance",
"Central America (not specified)","Development Assistance",
"Central America (not specified)","Economic Support Fund/Security Support Assistance",
"Central America (not specified)","Global HIV/AIDS Initiative",
"Central America (not specified)","Global Health and Child Survival",
"Central America (not specified)","Inactive Programs",
"Central America (not specified)","Migration and Refugee Assistance",
"Central America (not specified)","Narcotics Control",
"Central America (not specified)","Nonproliferation, Anti-Terrorism, Demining and Related",
"Central America (not specified)","Other Active Grant Programs",
"Central America (not specified)","Other State Assistance",
"Central America (not specified)","Other USAID Assistance",
"Central America (not specified)","Other USDA Assistance",
"Central America (not specified)","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Chad","Development Assistance",
"Chad","Economic Support Fund/Security Support Assistance",
"Chad","Food For Education",
"Chad","Migration and Refugee Assistance",
"Chad","Narcotics Control",
"Chad","Nonproliferation, Anti-Terrorism, Demining and Related",
"Chad","Other Active Grant Programs",
"Chad","Other State Assistance",
"Chad","Other USAID Assistance",
"Chad","Peace Corps",
"Chad","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Chad","Title II",
"Chad","Title III",
"Chile","Department of Defense Security Assistance",
"Chile","Economic Support Fund/Security Support Assistance",
"Chile","Inactive Programs",1400000
"Chile","Migration and Refugee Assistance",
"Chile","Narcotics Control",
"Chile","Nonproliferation, Anti-Terrorism, Demining and Related",
"Chile","Other Active Grant Programs",
"Chile","Other State Assistance",
"Chile","Other USAID Assistance",
"Chile","Other USDA Assistance",
"Chile","Peace Corps",
"Chile","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Chile","Title I",
"Chile","Title II",
"China (Hong Kong)","Millennium Challenge Corporation",
"China (Hong Kong)","Other Active Grant Programs",
"China (Hong Kong)","Other State Assistance",
"China (Hong Kong)","Other USAID Assistance",
"China (Hong Kong)","Title II",
"China (P.R.C.)","Child Survival and Health",
"China (P.R.C.)","Department of Defense Security Assistance",
"China (P.R.C.)","Development Assistance",
"China (P.R.C.)","Economic Support Fund/Security Support Assistance",
"China (P.R.C.)","Global HIV/AIDS Initiative",
"China (P.R.C.)","Global Health and Child Survival",
"China (P.R.C.)","Migration and Refugee Assistance",
"China (P.R.C.)","Narcotics Control",
"China (P.R.C.)","Nonproliferation, Anti-Terrorism, Demining and Related",
"China (P.R.C.)","Other Active Grant Programs",
"China (P.R.C.)","Other State Assistance",
"China (P.R.C.)","Other USAID Assistance",
"China (P.R.C.)","Other USDA Assistance",
"China (P.R.C.)","Peace Corps",
"China (P.R.C.)","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"China (P.R.C.)","Title II",
"China (Taiwan)","Development Assistance",
"China (Taiwan)","Economic Support Fund/Security Support Assistance",
"China (Taiwan)","Inactive Programs",128700000
"China (Taiwan)","Narcotics Control",
"China (Taiwan)","Nonproliferation, Anti-Terrorism, Demining and Related",
"China (Taiwan)","Other Active Grant Programs",
"China (Taiwan)","Other USAID Assistance",
"China (Taiwan)","Other USDA Assistance",
"China (Taiwan)","Title I",
"China (Taiwan)","Title II",
"Colombia","Child Survival and Health",
"Colombia","Department of Defense Security Assistance",
"Colombia","Development Assistance",
"Colombia","Economic Support Fund/Security Support Assistance",
"Colombia","Food For Education",
"Colombia","Global Health and Child Survival",
"Colombia","Inactive Programs",500000
"Colombia","Migration and Refugee Assistance",
"Colombia","Millennium Challenge Corporation",
"Colombia","Narcotics Control",
"Colombia","Nonproliferation, Anti-Terrorism, Demining and Related",
"Colombia","Other Active Grant Programs",
"Colombia","Other State Assistance",
"Colombia","Other USAID Assistance",
"Colombia","Other USDA Assistance",
"Colombia","Peace Corps",
"Colombia","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Colombia","Title I",
"Colombia","Title II",
"Comoros","Department of Defense Security Assistance",
"Comoros","Development Assistance",
"Comoros","Economic Support Fund/Security Support Assistance",
"Comoros","Nonproliferation, Anti-Terrorism, Demining and Related",
"Comoros","Other USAID Assistance",
"Comoros","Peace Corps",
"Comoros","Title II",
"Congo (Brazzaville)","Child Survival and Health",
"Congo (Brazzaville)","Department of Defense Security Assistance",
"Congo (Brazzaville)","Development Assistance",
"Congo (Brazzaville)","Economic Support Fund/Security Support Assistance",
"Congo (Brazzaville)","Food For Education",
"Congo (Brazzaville)","Global Health and Child Survival",
"Congo (Brazzaville)","Migration and Refugee Assistance",
"Congo (Brazzaville)","Nonproliferation, Anti-Terrorism, Demining and Related",
"Congo (Brazzaville)","Other Active Grant Programs",
"Congo (Brazzaville)","Other State Assistance",
"Congo (Brazzaville)","Other USAID Assistance",
"Congo (Brazzaville)","Peace Corps",
"Congo (Brazzaville)","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Congo (Brazzaville)","Title I",
"Congo (Brazzaville)","Title II",
"Congo (Kinshasa)","Child Survival and Health",
"Congo (Kinshasa)","Department of Defense Security Assistance",
"Congo (Kinshasa)","Development Assistance",
"Congo (Kinshasa)","Economic Support Fund/Security Support Assistance",
"Congo (Kinshasa)","Food For Education",
"Congo (Kinshasa)","Global HIV/AIDS Initiative",
"Congo (Kinshasa)","Global Health and Child Survival",
"Congo (Kinshasa)","Migration and Refugee Assistance",
"Congo (Kinshasa)","Narcotics Control",
"Congo (Kinshasa)","Nonproliferation, Anti-Terrorism, Demining and Related",
"Congo (Kinshasa)","Other Active Grant Programs",
"Congo (Kinshasa)","Other State Assistance",
"Congo (Kinshasa)","Other USAID Assistance",
"Congo (Kinshasa)","Peace Corps",
"Congo (Kinshasa)","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Congo (Kinshasa)","Title I",
"Congo (Kinshasa)","Title II",
"Congo (Kinshasa)","Title III",
"Costa Rica","Department of Defense Security Assistance",
"Costa Rica","Development Assistance",
"Costa Rica","Economic Support Fund/Security Support Assistance",
"Costa Rica","Inactive Programs",2000000
"Costa Rica","Migration and Refugee Assistance",
"Costa Rica","Narcotics Control",
"Costa Rica","Other Active Grant Programs",
"Costa Rica","Other State Assistance",
"Costa Rica","Other USAID Assistance",
"Costa Rica","Peace Corps",
"Costa Rica","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Costa Rica","Title I",
"Costa Rica","Title II",
"Cote d'Ivoire","Child Survival and Health",
"Cote d'Ivoire","Department of Defense Security Assistance",
"Cote d'Ivoire","Development Assistance",
"Cote d'Ivoire","Economic Support Fund/Security Support Assistance",
"Cote d'Ivoire","Food For Education",
"Cote d'Ivoire","Global HIV/AIDS Initiative",
"Cote d'Ivoire","Global Health and Child Survival",
"Cote d'Ivoire","Migration and Refugee Assistance",
"Cote d'Ivoire","Narcotics Control",
"Cote d'Ivoire","Nonproliferation, Anti-Terrorism, Demining and Related",
"Cote d'Ivoire","Other Active Grant Programs",
"Cote d'Ivoire","Other State Assistance",
"Cote d'Ivoire","Other USAID Assistance",
"Cote d'Ivoire","Peace Corps",
"Cote d'Ivoire","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Cote d'Ivoire","Title I",
"Cote d'Ivoire","Title II",
"Croatia","Child Survival and Health",
"Croatia","Department of Defense Security Assistance",
"Croatia","Development Assistance",
"Croatia","Economic Support Fund/Security Support Assistance",
"Croatia","Migration and Refugee Assistance",
"Croatia","Narcotics Control",
"Croatia","Nonproliferation, Anti-Terrorism, Demining and Related",
"Croatia","Other Active Grant Programs",
"Croatia","Other State Assistance",
"Croatia","Other USAID Assistance",
"Croatia","Title I",
"Croatia","Title II",
"Cuba","Development Assistance",
"Cuba","Economic Support Fund/Security Support Assistance",
"Cuba","Inactive Programs",100000
"Cuba","Other State Assistance",
"Cuba","Other USAID Assistance",
"Cuba","Title II",
"Cyprus","Department of Defense Security Assistance",
"Cyprus","Development Assistance",
"Cyprus","Economic Support Fund/Security Support Assistance",
"Cyprus","Narcotics Control",
"Cyprus","Nonproliferation, Anti-Terrorism, Demining and Related",
"Cyprus","Other Active Grant Programs",
"Cyprus","Other USAID Assistance",
"Cyprus","Peace Corps",
"Cyprus","Title I",
"Cyprus","Title II",
"Czech Republic","Narcotics Control",
"Czech Republic","Nonproliferation, Anti-Terrorism, Demining and Related",
"Czech Republic","Other Active Grant Programs",
"Czech Republic","Other State Assistance",
"Czech Republic","Other USAID Assistance",
"Czech Republic","Peace Corps",
"Denmark","Inactive Programs",
"Denmark","Other Active Grant Programs",
"Denmark","Other USAID Assistance",
"Denmark","Title II",
"Djibouti","Child Survival and Health",
"Djibouti","Department of Defense Security Assistance",
"Djibouti","Development Assistance",
"Djibouti","Economic Support Fund/Security Support Assistance",
"Djibouti","Global HIV/AIDS Initiative",
"Djibouti","Global Health and Child Survival",
"Djibouti","Migration and Refugee Assistance",
"Djibouti","Narcotics Control",
"Djibouti","Nonproliferation, Anti-Terrorism, Demining and Related",
"Djibouti","Other Active Grant Programs",
"Djibouti","Other State Assistance",
"Djibouti","Other USAID Assistance",
"Djibouti","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Djibouti","Title II",
"Dominica","Department of Defense Security Assistance",
"Dominica","Other Active Grant Programs",
"Dominica","Other State Assistance",
"Dominica","Other USAID Assistance",
"Dominican Republic","Child Survival and Health",
"Dominican Republic","Department of Defense Security Assistance",
"Dominican Republic","Development Assistance",
"Dominican Republic","Economic Support Fund/Security Support Assistance",
"Dominican Republic","Food For Education",
"Dominican Republic","Global HIV/AIDS Initiative",
"Dominican Republic","Global Health and Child Survival",
"Dominican Republic","Inactive Programs",200000
"Dominican Republic","Migration and Refugee Assistance",
"Dominican Republic","Millennium Challenge Corporation",
"Dominican Republic","Narcotics Control",
"Dominican Republic","Nonproliferation, Anti-Terrorism, Demining and Related",
"Dominican Republic","Other Active Grant Programs",
"Dominican Republic","Other State Assistance",
"Dominican Republic","Other USAID Assistance",
"Dominican Republic","Peace Corps",
"Dominican Republic","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Dominican Republic","Title I",
"Dominican Republic","Title II",
"East Africa (not specified)","Child Survival and Health",
"East Africa (not specified)","Development Assistance",
"East Africa (not specified)","Economic Support Fund/Security Support Assistance",
"East Africa (not specified)","Global HIV/AIDS Initiative",
"East Africa (not specified)","Migration and Refugee Assistance",
"East Africa (not specified)","Other Active Grant Programs",
"East Africa (not specified)","Other State Assistance",
"East Africa (not specified)","Other USAID Assistance",
"East Africa (not specified)","Title I",
"East Africa (not specified)","Title II",
"Eastern Europe (not specified)","Child Survival and Health",
"Eastern Europe (not specified)","Development Assistance",
"Eastern Europe (not specified)","Economic Support Fund/Security Support Assistance",
"Eastern Europe (not specified)","Global Health and Child Survival",
"Eastern Europe (not specified)","Inactive Programs",112800000
"Eastern Europe (not specified)","Migration and Refugee Assistance",
"Eastern Europe (not specified)","Narcotics Control",
"Eastern Europe (not specified)","Nonproliferation, Anti-Terrorism, Demining and Related",
"Eastern Europe (not specified)","Other Active Grant Programs",
"Eastern Europe (not specified)","Other State Assistance",
"Eastern Europe (not specified)","Other USAID Assistance",
"Eastern Europe (not specified)","Peace Corps",
"Eastern Europe (not specified)","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Eastern Europe (not specified)","Title II",
